G,F,W,V1,V2,V3,C
959.2209249,110.6523021,6371.54596,236.8010313,197.5927609,51.90627382,0.119250629
961.5635074,114.3876991,6568.551433,235.5017222,295.8511232,52.01539346,0.115118294
960.2605435,110.6935507,6702.711111,234.8765375,317.5670398,52.0117588,0.12021456
959.2113887,115.4372983,6663.157891,234.956762,325.0329687,52.1255952,0.113305635
960.4048331,108.6840559,6667.725944,235.3963203,325.4039681,52.27283844,0.107588383
960.8253675,103.3284027,6502.590832,233.6272725,315.8011584,52.36558061,0.101695569
960.3632739,97.7116829,6450.436871,233.027283,322.2308916,52.35868927,0.096214679
960.20533,92.40104437,6333.854293,230.7458331,310.734676,52.36908659,0.097932409
960.0985928,94.03522088,6265.174173,230.1116646,316.5050886,52.33486097,0.118164585
958.5324824,113.4496521,6342.023367,231.1160504,307.8522705,52.32847533,0.137575597
960.1349497,131.8706785,6716.061111,235.5246853,311.7299443,52.20513345,0.137992552
959.9516697,132.4914721,6897.992949,239.4845068,305.4390287,52.2798382,0.132888983
960.1242807,127.5670007,6856.156395,239.7242951,265.9525609,52.20555484,0.124232438
959.770805,119.2785799,6795.02399,238.7511314,188.0184589,52.30968731,0.117646242
960.1565024,112.9134279,6600.837057,236.8108256,231.6618887,52.70753014,0.075608367
959.4144116,72.59586519,6447.059304,235.428095,113.8822828,53.14589637,0.051422073
856.0236231,49.33507788,6096.51164,204.5407898,33.07097749,53.07086059,0.057942335
851.987252,49.60000786,5972.122755,197.4686757,28.54425759,52.86632465,0.060927503
849.4521286,51.90945559,5989.250316,198.2944664,18.25336099,52.67882275,0.076245779
850.4606257,64.76713895,6008.39835,197.7110336,21.82874993,52.65377841,0.125909003
914.0108986,107.0806491,6124.479262,214.8121154,53.40098077,52.41555971,0.132830353
959.5814182,121.40839,6562.839801,234.132677,84.00204822,52.4086486,0.136723709
959.3522484,131.197531,6907.158907,236.9674453,79.78984136,52.47137994,0.128867451
960.4754162,123.6292791,7259.528621,239.5608586,117.381814,52.46944611,0.124330265
957.7121997,119.4161631,6960.103007,260.0790592,97.50737914,52.51653768,0.163049449
960.4465252,156.1544469,7118.218354,232.8897992,74.26246805,52.44145958,0.163315508
959.902168,156.8558122,7486.609229,232.981887,80.65558251,52.4016442,0.152569504
943.6753568,146.4517974,7336.093684,224.5109271,97.52687926,52.46767325,0.133616342
940.6478058,126.0904493,6909.118013,222.2561951,131.5208712,52.50690276,0.115694069
939.3280507,108.827372,6526.826538,217.345069,143.5715972,52.47425352,0.116743986
941.046461,109.660901,6500.195942,214.4415752,111.8400768,52.56373855,0.122234686
938.9592255,115.0285184,6574.770121,214.257297,122.6167752,52.58181243,0.141443149
939.1992995,132.8093493,6777.988133,215.3775542,113.4924374,52.65506581,0.169731639
939.7221169,159.4118366,7157.046049,227.6816068,156.2216374,52.79512827,0.177674866
959.3924959,166.9650011,7408.813798,232.3863419,141.3938574,52.89547901,0.177974932
960.1264536,170.7478142,7511.664836,230.4042498,134.2845091,53.03610577,0.163453437
959.786281,156.9359692,7402.266369,230.4298503,148.6320082,52.697755,0.134116803
958.3475635,128.7234676,7095.588835,226.9626496,140.7442684,52.5369496,0.132187756
960.4625206,126.6818142,6938.3875,221.8591959,113.6013291,52.51158338,0.126260446
959.2269191,121.2684266,6961.35892,222.2191935,147.7981799,52.34048426,0.102586835
960.4802041,98.40405327,6721.788212,220.9927083,122.9186509,52.24943908,0.090032534
960.0675947,86.4744667,6422.617806,215.2924951,70.48760798,52.09969757,0.089355613
960.8413877,85.7874289,6328.994528,214.5448375,53.22159549,52.09154251,0.095407418
959.4141308,91.67139589,6332.949124,213.3919883,98.06579617,52.31743177,0.125686573
957.7808237,120.5854744,6519.912095,214.3283969,129.2579049,52.42487112,0.144390531
959.4894956,138.2944819,6974.223674,232.9866311,136.4862205,52.48084181,0.145873099
961.504649,139.9637058,7088.116351,225.9247237,92.71707058,52.45834611,0.141533022
959.77991,136.0846583,7033.08327,223.506956,122.7070566,52.29658334,0.120293334
960.4943739,115.455125,6801.267573,223.0826069,159.9382662,52.2838794,0.119299333
959.8905684,114.5863383,6547.070412,220.212242,136.0305672,52.23722954,0.125245031
961.4306569,120.2215244,6587.747093,219.8010806,154.1322138,52.24751171,0.111534524
961.7184698,107.2327109,6528.179056,220.8892816,239.0446914,52.56315962,0.103614563
959.7021576,99.64803885,6273.488995,219.2189513,331.0132801,52.86714727,0.098518054
959.710822,94.54798925,6181.191269,216.6234847,378.9230364,52.93058282,0.100717924
960.7100568,96.6600819,6144.692357,215.7254026,389.8989691,52.9706782,0.109217728
956.9436898,104.92657,6310.551164,214.6818627,386.4033201,52.85540563,0.120867602
962.0881077,115.6634887,6659.844555,217.9396455,375.7513183,52.73859704,0.12452593
960.9581376,119.804916,6773.608197,219.784994,361.2776275,52.62932036,0.127207423
959.1010882,122.2410086,6844.472418,220.9620762,362.6620176,52.46541743,0.141548053
958.933278,135.7588913,7121.786325,220.9249388,220.6996173,52.2295119,0.151534853
959.8569187,145.3118136,7457.905212,224.3995481,210.480094,52.1495051,0.139388987
960.2490797,133.7934833,7236.86732,225.1175439,183.2196998,52.18500078,0.113455686
960.1194148,108.9457183,6834.918013,223.4892821,162.6424991,52.04626032,0.091149948
959.4998894,87.51483497,6572.500277,218.8656798,62.13118789,51.96381828,0.079227238
960.4588261,76.01852599,6282.547135,213.8899835,57.4764713,51.99466213,0.087482702
960.6156976,84.02353372,6210.225784,212.4853779,65.96216341,52.011084,0.097885214
960.1757858,94.03007269,6351.983968,213.0765437,86.27000341,52.04368291,0.111597849
960.4994723,107.1535521,6436.980215,214.9398703,184.7135042,52.14484735,0.13160645
959.4423171,126.4079259,6637.627267,217.4097159,267.6859583,52.14138786,0.142841358
959.7891449,137.0480435,6898.906146,221.4760519,214.3390299,52.01127845,0.135974042
959.7378213,130.5064093,6941.389733,223.8312987,200.0867975,52.02837936,0.120738303
960.2538645,115.8771161,6729.772199,223.3045538,215.6851551,52.10899518,0.111408532
959.7047628,106.9804734,6503.9049,219.4900482,222.0787118,52.16747418,0.12232278
960.0980209,117.3937546,6444.205867,218.1173158,239.3770869,52.03201878,0.111826631
960.5657082,107.3645273,6564.626608,221.1036852,280.093792,52.14320941,0.102610431
960.7696284,98.56406178,6321.926147,217.7505951,295.1808595,52.16803949,0.10652018
959.9682524,102.3413534,6231.80724,216.8151683,296.7958771,52.15692387,0.114320385
959.0149962,109.7439404,6329.371495,216.055728,297.906831,52.14751472,0.126648724
959.6119717,121.4580257,6429.474139,219.013959,291.7446959,52.14432512,0.14012829
959.7242419,134.4687845,6675.193615,220.7351826,293.1815858,52.16279407,0.140136998
959.0172873,134.4928738,6884.633343,222.8027256,295.3417382,52.22061566,0.150552642
959.5751208,144.3825862,7137.041667,223.2307355,311.6916306,52.2531536,0.155482082
960.2529802,149.1967376,7409.352933,225.6983886,299.1683005,52.31671225,0.14382723
959.368866,138.1105261,7373.347198,226.8026911,298.0724156,52.27245894,0.123307351
960.8452124,118.2972335,6923.082405,224.5586322,301.2049816,52.28750903,0.104724284
960.5007342,100.623827,6480.853657,221.7370387,274.8807382,52.24099888,0.094055432
962.150289,90.34031127,6284.198159,217.8504034,293.6505753,52.31709471,0.089828615
959.2845896,86.42862816,6129.952841,214.4950832,277.68215,52.52024538,0.096478704
960.3259137,92.55053411,6117.154095,213.8677023,297.3306295,52.58146761,0.100695646
959.1892254,96.7006378,6168.414907,214.5390734,283.7923684,52.5159392,0.106387411
959.361619,102.0456583,6402.633589,215.1817596,280.7235618,52.32995461,0.114111667
959.0622456,109.4743535,6735.483081,216.5508874,254.2282087,52.2252171,0.127658532
955.53656,122.4324782,6955.661377,216.9935308,263.1434897,52.15000388,0.127129156
961.6742647,121.4765566,7441.090097,220.9335367,234.7690212,52.11000616,0.151201385
960.1882396,145.4064805,8139.34994,223.3710001,273.1333123,52.1062873,0.135437498
959.0722577,130.0454931,7723.446822,276.0163807,290.5546491,52.10335501,0.104187497
960.1390031,99.92333772,6673.991109,273.1087703,299.4503295,52.07697849,0.095401552
960.0799623,91.59875071,6312.565382,264.764991,262.4732914,51.99938496,0.092235086
959.9060367,88.55305792,6207.520817,263.3370355,276.3837784,52.09575293,0.090596516
960.2686676,86.96414236,6148.076034,261.9425525,209.929715,52.18754113,0.097566214
959.769228,93.68977828,6192.852017,260.9911489,242.4731158,52.17331336,0.103544167
960.0858945,99.37850487,6274.424306,263.7924555,269.0630824,52.25985254,0.109171024
960.015799,104.8135604,6335.617351,264.1828222,281.9331766,52.28865266,0.121995667
961.1826592,117.1177673,6473.258205,231.0754583,280.5907481,52.30473439,0.151204154
958.7553806,145.334811,6863.694718,220.1889817,267.0238121,52.32599588,0.167998063
962.2436508,161.0690471,7402.567515,226.0281399,272.8872448,52.32159231,0.132494337
